1A,40
1B,20
1C,50
1D,50
1E,20
1F,40
2A,40
2B,20
2C,50
2D,50
2E,20
2F,40
3A,40
3B,20
3C,50
3D,50
3E,20
3F,40
4A,40
4B,20
4C,50
4D,50
4E,20
4F,40
5A,40
5B,20
5C,50
5D,50
5E,20
5F,40
6A,40
6B,20
6C,50
6D,50
6E,20
6F,40
7A,40
7B,20
7C,50
7D,50
7E,20
7F,40
8A,40
8B,20
8C,50
8D,50
8E,20
8F,40
9A,40
9B,20
9C,50
9D,50
9E,20
9F,40
10A,40
10B,20
10C,50
10D,50
10E,20
10F,40
11A,40
11B,20
11C,50
11D,50
11E,20
11F,40
12A,40
12B,20
12C,50
12D,50
12E,20
12F,40
13A,40
13B,20
13C,50
13D,50
13E,20
13F,40
14A,40
14B,20
14C,50
14D,50
14E,20
14F,40
15A,40
15B,20
15C,50
15D,50
15E,20
15F,40
16A,40
16B,20
16C,50
16D,50
16E,20
16F,40
17A,40
17B,20
17C,50
17D,50
17E,20
17F,40
18A,40
18B,20
18C,50
18D,50
18E,20
18F,40
19A,40
19B,20
19C,50
19D,50
19E,20
19F,40
20A,40
20B,20
20C,50
20D,50
20E,20
20F,40
21A,40
21B,20
21C,50
21D,50
21E,20
21F,40
22A,40
22B,20
22C,50
22D,50
22E,20
22F,40
23A,40
23B,20
23C,50
23D,50
23E,20
23F,40
24A,40
24B,20
24C,50
24D,50
24E,20
24F,40
25A,40
25B,20
25C,50
25D,50
25E,20
25F,40
